Date(UTC),Pair,Side,Price,Executed,Amount,Fee
2026-05-04 13:00:00,ETHUSDT,BUY,3180,0.00786 ETH,25.00 USDT,0.0250 USDT
2026-05-11 13:00:00,BTCUSDT,BUY,58639,0.000682 BTC,40.00 USDT,0.0400 USDT
2026-05-11 13:00:00,ETHUSDT,BUY,3299,0.00758 ETH,25.00 USDT,0.0250 USDT
2026-05-18 13:00:00,BTCUSDT,BUY,58898,0.000679 BTC,40.00 USDT,0.0400 USDT
2026-05-18 13:00:00,ETHUSDT,BUY,2518,0.00993 ETH,25.00 USDT,0.0250 USDT
2026-05-25 13:00:00,BTCUSDT,BUY,59157,0.000676 BTC,40.00 USDT,0.0400 USDT
2026-05-25 13:00:00,ETHUSDT,BUY,2637,0.00948 ETH,25.00 USDT,0.0250 USDT
2026-06-01 13:00:00,BTCUSDT,BUY,59416,0.000673 BTC,40.00 USDT,0.0400 USDT
2026-06-01 13:00:00,ETHUSDT,BUY,2756,0.00907 ETH,25.00 USDT,0.0250 USDT
2026-06-08 13:00:00,BTCUSDT,BUY,59675,0.000670 BTC,40.00 USDT,0.0400 USDT
2026-06-08 13:00:00,ETHUSDT,BUY,2875,0.00870 ETH,25.00 USDT,0.0250 USDT
2026-06-15 13:00:00,BTCUSDT,BUY,59934,0.000667 BTC,40.00 USDT,0.0400 USDT
2026-06-15 13:00:00,ETHUSDT,BUY,2994,0.00835 ETH,25.00 USDT,0.0250 USDT
2026-06-22 13:00:00,BTCUSDT,BUY,60193,0.000665 BTC,40.00 USDT,0.0400 USDT
2026-06-22 13:00:00,ETHUSDT,BUY,3113,0.00803 ETH,25.00 USDT,0.0250 USDT
2026-06-29 13:00:00,BTCUSDT,BUY,60452,0.000662 BTC,40.00 USDT,0.0400 USDT
2026-06-29 13:00:00,ETHUSDT,BUY,3232,0.00774 ETH,25.00 USDT,0.0250 USDT
2026-07-06 13:00:00,BTCUSDT,BUY,60711,0.000659 BTC,40.00 USDT,0.0400 USDT
2026-07-06 13:00:00,ETHUSDT,BUY,2451,0.01020 ETH,25.00 USDT,0.0250 USDT
2026-07-13 13:00:00,BTCUSDT,BUY,60970,0.000656 BTC,40.00 USDT,0.0400 USDT
2026-07-13 13:00:00,ETHUSDT,BUY,2570,0.00973 ETH,25.00 USDT,0.0250 USDT
2026-07-20 13:00:00,BTCUSDT,BUY,61229,0.000653 BTC,40.00 USDT,0.0400 USDT
2026-07-20 13:00:00,ETHUSDT,BUY,2689,0.00930 ETH,25.00 USDT,0.0250 USDT
2026-07-27 13:00:00,BTCUSDT,BUY,61488,0.000651 BTC,40.00 USDT,0.0400 USDT
2026-07-27 13:00:00,ETHUSDT,BUY,2808,0.00890 ETH,25.00 USDT,0.0250 USDT
